iter	Passed	Remaining
0	10	2109
1	22	2266
2	36	2381
3	48	2356
4	60	2368
5	72	2335
6	84	2327
7	96	2308
8	107	2278
9	119	2263
10	130	2247
11	143	2240
12	153	2214
13	166	2211
14	178	2199
15	190	2185
16	201	2164
17	212	2149
18	223	2130
19	235	2121
20	247	2108
21	258	2091
22	269	2077
23	281	2062
24	292	2050
25	304	2038
26	315	2023
27	327	2009
28	339	1999
29	350	1986
30	362	1974
31	373	1962
32	385	1949
33	396	1937
34	409	1931
35	421	1921
36	434	1912
37	446	1903
38	458	1891
39	469	1879
40	481	1867
41	493	1855
42	503	1839
43	514	1825
44	527	1815
45	539	1804
46	550	1791
47	561	1779
48	573	1767
49	585	1755
50	598	1749
51	610	1736
52	621	1723
53	632	1710
54	644	1699
55	656	1688
56	668	1676
57	679	1663
58	691	1652
59	703	1640
60	714	1627
61	725	1615
62	737	1603
63	748	1590
64	759	1578
65	772	1567
66	782	1554
67	793	1541
68	805	1529
69	816	1516
70	828	1504
71	840	1493
72	851	1481
73	863	1469
74	874	1457
75	886	1446
76	897	1433
77	908	1421
78	920	1410
79	931	1397
80	943	1386
81	955	1374
82	966	1362
83	977	1350
84	990	1339
85	1001	1327
86	1013	1316
87	1024	1303
88	1036	1292
89	1047	1280
90	1059	1268
91	1070	1256
92	1081	1244
93	1092	1232
94	1104	1220
95	1116	1209
96	1127	1197
97	1139	1185
98	1151	1174
99	1162	1162
100	1174	1151
101	1186	1139
102	1197	1127
103	1208	1115
104	1220	1104
105	1231	1092
106	1243	1080
107	1254	1068
108	1267	1057
109	1278	1045
110	1289	1034
111	1301	1022
112	1314	1011
113	1325	999
114	1336	988
115	1349	976
116	1360	964
117	1372	953
118	1383	941
119	1395	930
120	1407	918
121	1418	906
122	1429	894
123	1441	883
124	1452	871
125	1464	860
126	1475	848
127	1487	836
128	1499	825
129	1510	813
130	1522	801
131	1533	789
132	1544	777
133	1556	766
134	1566	754
135	1578	742
136	1593	732
137	1605	721
138	1616	709
139	1627	697
140	1639	686
141	1650	674
142	1661	662
143	1673	650
144	1684	639
145	1696	627
146	1708	615
147	1719	604
148	1730	592
149	1742	580
150	1753	568
151	1764	557
152	1776	545
153	1787	534
154	1798	522
155	1810	510
156	1821	498
157	1832	487
158	1844	475
159	1855	463
160	1866	452
161	1877	440
162	1890	429
163	1902	417
164	1913	405
165	1924	394
166	1936	382
167	1947	370
168	1958	359
169	1970	347
170	1982	336
171	1993	324
172	2005	313
173	2017	301
174	2028	289
175	2040	278
176	2052	266
177	2063	255
178	2074	243
179	2086	231
180	2098	220
181	2109	208
182	2120	197
183	2132	185
184	2143	173
185	2154	162
186	2166	150
187	2177	139
188	2190	127
189	2202	115
190	2213	104
191	2225	92
192	2237	81
193	2248	69
194	2259	57
195	2270	46
196	2282	34
197	2293	23
198	2305	11
199	2316	0
